
   Begin Hooke's Law Problem

t = 0.000000, energy = 81.920006
t = 0.010000, sol. err = 0.000000, energy = 81.919998
t = 0.020000, sol. err = 0.000000, energy = 81.919998
t = 0.030000, sol. err = 0.000000, energy = 81.919998
t = 0.040000, sol. err = 0.000000, energy = 81.919998
t = 0.050000, sol. err = 0.000003, energy = 81.920006
t = 0.060000, sol. err = 0.000003, energy = 81.919998
t = 0.070000, sol. err = 0.000001, energy = 81.920006
t = 0.080000, sol. err = 0.000004, energy = 81.919998
t = 0.090000, sol. err = 0.000009, energy = 81.919998
t = 0.100000, sol. err = 0.000011, energy = 81.919998

Current time                 = 0.09999999403953552
Steps                        = 1000
Step attempts                = 1000
Stability limited steps      = 0
Accuracy limited steps       = 0
Error test fails             = 0
NLS step fails               = 0
Inequality constraint fails  = 0
Initial step size            = 9.999999747378752e-05
Last step size               = 9.999999747378752e-05
Current step size            = 9.999999747378752e-05
f1 RHS fn evals              = 4001
f2 RHS fn evals              = 4001
