
   Begin Kepler Problem

Problem Arguments:
  stepper:              0
  step mode:            0
  use compensated sums: 0
  dt:                   0.01
  Tf:                   100
  nout:                 1000

t = 0.0000, H(p,q) = -0.5000002384185791, L(p,q) = 0.7999999523162842
t = 0.1000, H(p,q)-H0 = -0.0000004768371582, L(p,q)-L0 = -0.0000001788139343
t = 0.2000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 0.3000, H(p,q)-H0 = 0.0000005960464478, L(p,q)-L0 = 0.0000001192092896
t = 0.4000, H(p,q)-H0 = 0.0000003576278687, L(p,q)-L0 = -0.0000000596046448
t = 0.5000, H(p,q)-H0 = -0.0000005364418030, L(p,q)-L0 = -0.0000004768371582
t = 0.6000, H(p,q)-H0 = -0.0000009536743164, L(p,q)-L0 = -0.0000007152557373
t = 0.7000, H(p,q)-H0 = -0.0000011324882507, L(p,q)-L0 = -0.0000008344650269
t = 0.8000, H(p,q)-H0 = -0.0000010728836060, L(p,q)-L0 = -0.0000007152557373
t = 0.9000, H(p,q)-H0 = -0.0000008940696716, L(p,q)-L0 = -0.0000004172325134
t = 1.0000, H(p,q)-H0 = -0.0000008344650269, L(p,q)-L0 = -0.0000004172325134
t = 1.1000, H(p,q)-H0 = -0.0000010132789612, L(p,q)-L0 = -0.0000005364418030
t = 1.2000, H(p,q)-H0 = -0.0000010728836060, L(p,q)-L0 = -0.0000005960464478
t = 1.3000, H(p,q)-H0 = -0.0000011324882507, L(p,q)-L0 = -0.0000005960464478
t = 1.4000, H(p,q)-H0 = -0.0000011920928955, L(p,q)-L0 = -0.0000005960464478
t = 1.5000, H(p,q)-H0 = -0.0000010728836060, L(p,q)-L0 = -0.0000005960464478
t = 1.6000, H(p,q)-H0 = -0.0000011324882507, L(p,q)-L0 = -0.0000006556510925
t = 1.7000, H(p,q)-H0 = -0.0000010728836060, L(p,q)-L0 = -0.0000005960464478
t = 1.8000, H(p,q)-H0 = -0.0000008344650269, L(p,q)-L0 = -0.0000002980232239
t = 1.9000, H(p,q)-H0 = -0.0000006556510925, L(p,q)-L0 = -0.0000001192092896
t = 2.0000, H(p,q)-H0 = -0.0000008940696716, L(p,q)-L0 = -0.0000003576278687
t = 2.1000, H(p,q)-H0 = -0.0000010728836060, L(p,q)-L0 = -0.0000004768371582
t = 2.2000, H(p,q)-H0 = -0.0000008344650269, L(p,q)-L0 = -0.0000002384185791
t = 2.3000, H(p,q)-H0 = -0.0000008344650269, L(p,q)-L0 = -0.0000001192092896
t = 2.4000, H(p,q)-H0 = -0.0000009536743164, L(p,q)-L0 = -0.0000002384185791
t = 2.5000, H(p,q)-H0 = -0.0000007152557373, L(p,q)-L0 = -0.0000000596046448
t = 2.6000, H(p,q)-H0 = -0.0000008344650269, L(p,q)-L0 = -0.0000002384185791
t = 2.7000, H(p,q)-H0 = -0.0000009536743164, L(p,q)-L0 = -0.0000003576278687
t = 2.8000, H(p,q)-H0 = -0.0000010728836060, L(p,q)-L0 = -0.0000004768371582
t = 2.9000, H(p,q)-H0 = -0.0000009536743164, L(p,q)-L0 = -0.0000003576278687
t = 3.0000, H(p,q)-H0 = -0.0000010132789612, L(p,q)-L0 = -0.0000005960464478
t = 3.1000, H(p,q)-H0 = -0.0000010132789612, L(p,q)-L0 = -0.0000005364418030
t = 3.2000, H(p,q)-H0 = -0.0000010132789612, L(p,q)-L0 = -0.0000004172325134
t = 3.3000, H(p,q)-H0 = -0.0000009536743164, L(p,q)-L0 = -0.0000003576278687
t = 3.4000, H(p,q)-H0 = -0.0000009536743164, L(p,q)-L0 = -0.0000004768371582
t = 3.5000, H(p,q)-H0 = -0.0000009536743164, L(p,q)-L0 = -0.0000003576278687
t = 3.6000, H(p,q)-H0 = -0.0000008940696716, L(p,q)-L0 = -0.0000003576278687
t = 3.7000, H(p,q)-H0 = -0.0000007748603821, L(p,q)-L0 = -0.0000001192092896
t = 3.8000, H(p,q)-H0 = -0.0000007748603821, L(p,q)-L0 = -0.0000001192092896
t = 3.9000, H(p,q)-H0 = -0.0000008344650269, L(p,q)-L0 = -0.0000001788139343
t = 4.0000, H(p,q)-H0 = -0.0000007748603821, L(p,q)-L0 = -0.0000001192092896
t = 4.1000, H(p,q)-H0 = -0.0000007152557373, L(p,q)-L0 = 0.0000000596046448
t = 4.2000, H(p,q)-H0 = -0.0000005960464478, L(p,q)-L0 = 0.0000000596046448
t = 4.3000, H(p,q)-H0 = -0.0000007152557373, L(p,q)-L0 = -0.0000000596046448
t = 4.4000, H(p,q)-H0 = -0.0000005960464478, L(p,q)-L0 = -0.0000002384185791
t = 4.5000, H(p,q)-H0 = -0.0000007152557373, L(p,q)-L0 = -0.0000003576278687
t = 4.6000, H(p,q)-H0 = -0.0000007152557373, L(p,q)-L0 = -0.0000001788139343
t = 4.7000, H(p,q)-H0 = -0.0000004768371582, L(p,q)-L0 = 0.0000000000000000
t = 4.8000, H(p,q)-H0 = -0.0000005960464478, L(p,q)-L0 = 0.0000000000000000
t = 4.9000, H(p,q)-H0 = -0.0000004768371582, L(p,q)-L0 = -0.0000000596046448
t = 5.0000, H(p,q)-H0 = -0.0000005960464478, L(p,q)-L0 = 0.0000000000000000
t = 5.1000, H(p,q)-H0 = -0.0000004768371582, L(p,q)-L0 = 0.0000000596046448
t = 5.2000, H(p,q)-H0 = -0.0000008344650269, L(p,q)-L0 = -0.0000001788139343
t = 5.3000, H(p,q)-H0 = -0.0000008344650269, L(p,q)-L0 = -0.0000002980232239
t = 5.4000, H(p,q)-H0 = -0.0000007748603821, L(p,q)-L0 = -0.0000002384185791
t = 5.5000, H(p,q)-H0 = -0.0000006556510925, L(p,q)-L0 = -0.0000001192092896
t = 5.6000, H(p,q)-H0 = -0.0000005960464478, L(p,q)-L0 = -0.0000001192092896
t = 5.7000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000003576278687
t = 5.8000, H(p,q)-H0 = -0.0000003576278687, L(p,q)-L0 = 0.0000001788139343
t = 5.9000, H(p,q)-H0 = -0.0000003576278687, L(p,q)-L0 = 0.0000002384185791
t = 6.0000, H(p,q)-H0 = -0.0000015497207642, L(p,q)-L0 = -0.0000002980232239
t = 6.1000, H(p,q)-H0 = -0.0000016689300537, L(p,q)-L0 = -0.0000003576278687
t = 6.2000, H(p,q)-H0 = -0.0000020265579224, L(p,q)-L0 = -0.0000004172325134
t = 6.3000, H(p,q)-H0 = -0.0000009536743164, L(p,q)-L0 = -0.0000002980232239
t = 6.4000, H(p,q)-H0 = -0.0000002384185791, L(p,q)-L0 = 0.0000000000000000
t = 6.5000, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = -0.0000000596046448
t = 6.6000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 6.7000, H(p,q)-H0 = 0.0000010728836060, L(p,q)-L0 = 0.0000004172325134
t = 6.8000, H(p,q)-H0 = 0.0000008344650269, L(p,q)-L0 = 0.0000003576278687
t = 6.9000, H(p,q)-H0 = 0.0000010728836060, L(p,q)-L0 = 0.0000005960464478
t = 7.0000, H(p,q)-H0 = 0.0000009536743164, L(p,q)-L0 = 0.0000005364418030
t = 7.1000, H(p,q)-H0 = 0.0000007748603821, L(p,q)-L0 = 0.0000004768371582
t = 7.2000, H(p,q)-H0 = 0.0000006556510925, L(p,q)-L0 = 0.0000002980232239
t = 7.3000, H(p,q)-H0 = 0.0000005960464478, L(p,q)-L0 = 0.0000004172325134
t = 7.4000, H(p,q)-H0 = 0.0000007748603821, L(p,q)-L0 = 0.0000005364418030
t = 7.5000, H(p,q)-H0 = 0.0000007152557373, L(p,q)-L0 = 0.0000004768371582
t = 7.6000, H(p,q)-H0 = 0.0000005662441254, L(p,q)-L0 = 0.0000002980232239
t = 7.7000, H(p,q)-H0 = 0.0000006854534149, L(p,q)-L0 = 0.0000003576278687
t = 7.8000, H(p,q)-H0 = 0.0000005960464478, L(p,q)-L0 = 0.0000003576278687
t = 7.9000, H(p,q)-H0 = 0.0000006258487701, L(p,q)-L0 = 0.0000002980232239
t = 8.0000, H(p,q)-H0 = 0.0000006556510925, L(p,q)-L0 = 0.0000002980232239
t = 8.1000, H(p,q)-H0 = 0.0000006556510925, L(p,q)-L0 = 0.0000003576278687
t = 8.2000, H(p,q)-H0 = 0.0000007450580597, L(p,q)-L0 = 0.0000005364418030
t = 8.3000, H(p,q)-H0 = 0.0000008940696716, L(p,q)-L0 = 0.0000005960464478
t = 8.4000, H(p,q)-H0 = 0.0000009536743164, L(p,q)-L0 = 0.0000007152557373
t = 8.5000, H(p,q)-H0 = 0.0000009536743164, L(p,q)-L0 = 0.0000006556510925
t = 8.6000, H(p,q)-H0 = 0.0000008940696716, L(p,q)-L0 = 0.0000007152557373
t = 8.7000, H(p,q)-H0 = 0.0000009536743164, L(p,q)-L0 = 0.0000007152557373
t = 8.8000, H(p,q)-H0 = 0.0000008344650269, L(p,q)-L0 = 0.0000005364418030
t = 8.9000, H(p,q)-H0 = 0.0000009536743164, L(p,q)-L0 = 0.0000008344650269
t = 9.0000, H(p,q)-H0 = 0.0000009536743164, L(p,q)-L0 = 0.0000008940696716
t = 9.1000, H(p,q)-H0 = 0.0000009238719940, L(p,q)-L0 = 0.0000007748603821
t = 9.2000, H(p,q)-H0 = 0.0000009536743164, L(p,q)-L0 = 0.0000008344650269
t = 9.3000, H(p,q)-H0 = 0.0000009536743164, L(p,q)-L0 = 0.0000008344650269
t = 9.4000, H(p,q)-H0 = 0.0000008940696716, L(p,q)-L0 = 0.0000006556510925
t = 9.5000, H(p,q)-H0 = 0.0000008940696716, L(p,q)-L0 = 0.0000006556510925
t = 9.6000, H(p,q)-H0 = 0.0000009238719940, L(p,q)-L0 = 0.0000007152557373
t = 9.7000, H(p,q)-H0 = 0.0000009834766388, L(p,q)-L0 = 0.0000008940696716
t = 9.8000, H(p,q)-H0 = 0.0000008940696716, L(p,q)-L0 = 0.0000008344650269
t = 9.9000, H(p,q)-H0 = 0.0000008046627045, L(p,q)-L0 = 0.0000007152557373
t = 10.0000, H(p,q)-H0 = 0.0000008344650269, L(p,q)-L0 = 0.0000007152557373
t = 10.1000, H(p,q)-H0 = 0.0000009536743164, L(p,q)-L0 = 0.0000008344650269
t = 10.2000, H(p,q)-H0 = 0.0000008940696716, L(p,q)-L0 = 0.0000007152557373
t = 10.3000, H(p,q)-H0 = 0.0000010132789612, L(p,q)-L0 = 0.0000008940696716
t = 10.4000, H(p,q)-H0 = 0.0000009834766388, L(p,q)-L0 = 0.0000009536743164
t = 10.5000, H(p,q)-H0 = 0.0000008940696716, L(p,q)-L0 = 0.0000008940696716
t = 10.6000, H(p,q)-H0 = 0.0000009238719940, L(p,q)-L0 = 0.0000009536743164
t = 10.7000, H(p,q)-H0 = 0.0000008046627045, L(p,q)-L0 = 0.0000008940696716
t = 10.8000, H(p,q)-H0 = 0.0000010728836060, L(p,q)-L0 = 0.0000011920928955
t = 10.9000, H(p,q)-H0 = 0.0000009536743164, L(p,q)-L0 = 0.0000011324882507
t = 11.0000, H(p,q)-H0 = 0.0000010728836060, L(p,q)-L0 = 0.0000013113021851
t = 11.1000, H(p,q)-H0 = 0.0000011622905731, L(p,q)-L0 = 0.0000013113021851
t = 11.2000, H(p,q)-H0 = 0.0000009834766388, L(p,q)-L0 = 0.0000011920928955
t = 11.3000, H(p,q)-H0 = 0.0000009238719940, L(p,q)-L0 = 0.0000011920928955
t = 11.4000, H(p,q)-H0 = 0.0000011324882507, L(p,q)-L0 = 0.0000013709068298
t = 11.5000, H(p,q)-H0 = 0.0000011920928955, L(p,q)-L0 = 0.0000014901161194
t = 11.6000, H(p,q)-H0 = 0.0000015497207642, L(p,q)-L0 = 0.0000016689300537
t = 11.7000, H(p,q)-H0 = 0.0000013113021851, L(p,q)-L0 = 0.0000014901161194
