
   Begin Kepler Problem

Problem Arguments:
  stepper:              1
  step mode:            1
  use compensated sums: 0
  dt:                   0.01
  Tf:                   100
  nout:                 1000

t = 0.0000, H(p,q) = -0.5000002384185791, L(p,q) = 0.7999999523162842
t = 0.1000, H(p,q)-H0 = -0.0000085830688477, L(p,q)-L0 = -0.0000008344650269
t = 0.2000, H(p,q)-H0 = -0.0001323223114014, L(p,q)-L0 = -0.0000134706497192
t = 0.3000, H(p,q)-H0 = -0.0001949071884155, L(p,q)-L0 = -0.0000214576721191
t = 0.4000, H(p,q)-H0 = -0.0002230405807495, L(p,q)-L0 = -0.0000252723693848
t = 0.5000, H(p,q)-H0 = -0.0002248287200928, L(p,q)-L0 = -0.0000254511833191
t = 0.6000, H(p,q)-H0 = -0.0002291798591614, L(p,q)-L0 = -0.0000258684158325
t = 0.7000, H(p,q)-H0 = -0.0002313256263733, L(p,q)-L0 = -0.0000259280204773
t = 0.8000, H(p,q)-H0 = -0.0002323985099792, L(p,q)-L0 = -0.0000259876251221
t = 0.9000, H(p,q)-H0 = -0.0002331137657166, L(p,q)-L0 = -0.0000261664390564
t = 1.0000, H(p,q)-H0 = -0.0002335309982300, L(p,q)-L0 = -0.0000261664390564
t = 1.1000, H(p,q)-H0 = -0.0002338290214539, L(p,q)-L0 = -0.0000261068344116
t = 1.2000, H(p,q)-H0 = -0.0002340078353882, L(p,q)-L0 = -0.0000261664390564
t = 1.3000, H(p,q)-H0 = -0.0002339482307434, L(p,q)-L0 = -0.0000261664390564
t = 1.4000, H(p,q)-H0 = -0.0002340078353882, L(p,q)-L0 = -0.0000261068344116
t = 1.5000, H(p,q)-H0 = -0.0002340078353882, L(p,q)-L0 = -0.0000261068344116
t = 1.6000, H(p,q)-H0 = -0.0002340078353882, L(p,q)-L0 = -0.0000261068344116
t = 1.7000, H(p,q)-H0 = -0.0002341270446777, L(p,q)-L0 = -0.0000261068344116
t = 1.8000, H(p,q)-H0 = -0.0002341270446777, L(p,q)-L0 = -0.0000261664390564
t = 1.9000, H(p,q)-H0 = -0.0002342462539673, L(p,q)-L0 = -0.0000262260437012
t = 2.0000, H(p,q)-H0 = -0.0002342462539673, L(p,q)-L0 = -0.0000262260437012
t = 2.1000, H(p,q)-H0 = -0.0002343058586121, L(p,q)-L0 = -0.0000262260437012
t = 2.2000, H(p,q)-H0 = -0.0002342462539673, L(p,q)-L0 = -0.0000262260437012
t = 2.3000, H(p,q)-H0 = -0.0002342462539673, L(p,q)-L0 = -0.0000262856483459
t = 2.4000, H(p,q)-H0 = -0.0002342462539673, L(p,q)-L0 = -0.0000262260437012
t = 2.5000, H(p,q)-H0 = -0.0002341866493225, L(p,q)-L0 = -0.0000262260437012
t = 2.6000, H(p,q)-H0 = -0.0002342462539673, L(p,q)-L0 = -0.0000262260437012
t = 2.7000, H(p,q)-H0 = -0.0002342462539673, L(p,q)-L0 = -0.0000262260437012
t = 2.8000, H(p,q)-H0 = -0.0002342462539673, L(p,q)-L0 = -0.0000262260437012
t = 2.9000, H(p,q)-H0 = -0.0002342462539673, L(p,q)-L0 = -0.0000262260437012
t = 3.0000, H(p,q)-H0 = -0.0002341866493225, L(p,q)-L0 = -0.0000262260437012
t = 3.1000, H(p,q)-H0 = -0.0002342462539673, L(p,q)-L0 = -0.0000262260437012
