
   Begin Kepler Problem

Problem Arguments:
  stepper:              1
  step mode:            0
  use compensated sums: 0
  dt:                   0.01
  Tf:                   100
  nout:                 1000

t = 0.0000, H(p,q) = -0.5000002384185791, L(p,q) = 0.7999999523162842
t = 0.1000, H(p,q)-H0 = 0.0000011920928955, L(p,q)-L0 = 0.0000002384185791
t = 0.2000, H(p,q)-H0 = 0.0000010728836060, L(p,q)-L0 = 0.0000002384185791
t = 0.3000, H(p,q)-H0 = 0.0000017881393433, L(p,q)-L0 = 0.0000004768371582
t = 0.4000, H(p,q)-H0 = 0.0000009536743164, L(p,q)-L0 = 0.0000001192092896
t = 0.5000, H(p,q)-H0 = 0.0000001788139343, L(p,q)-L0 = -0.0000003576278687
t = 0.6000, H(p,q)-H0 = 0.0000002980232239, L(p,q)-L0 = -0.0000002384185791
t = 0.7000, H(p,q)-H0 = 0.0000002980232239, L(p,q)-L0 = -0.0000003576278687
t = 0.8000, H(p,q)-H0 = 0.0000002384185791, L(p,q)-L0 = -0.0000002384185791
t = 0.9000, H(p,q)-H0 = 0.0000007152557373, L(p,q)-L0 = -0.0000000596046448
t = 1.0000, H(p,q)-H0 = 0.0000005364418030, L(p,q)-L0 = -0.0000001192092896
ROOT RETURN:	t = 1.0305 g[0] =  -1, y[0] = -0.658633, y[1] = 0.798624
t = 1.0305, H(p,q)-H0 = 0.0000004172325134, L(p,q)-L0 = -0.0000001788139343
t = 1.1000, H(p,q)-H0 = 0.0000004172325134, L(p,q)-L0 = -0.0000002384185791
t = 1.2000, H(p,q)-H0 = 0.0000004768371582, L(p,q)-L0 = -0.0000001788139343
t = 1.3000, H(p,q)-H0 = 0.0000002384185791, L(p,q)-L0 = -0.0000003576278687
t = 1.4000, H(p,q)-H0 = 0.0000002682209015, L(p,q)-L0 = -0.0000003576278687
t = 1.5000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = -0.0000005960464478
t = 1.6000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = -0.0000004768371582
t = 1.7000, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = -0.0000005364418030
t = 1.8000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = -0.0000002384185791
t = 1.9000, H(p,q)-H0 = 0.0000002384185791, L(p,q)-L0 = -0.0000002384185791
t = 2.0000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = -0.0000002384185791
t = 2.1000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = -0.0000002384185791
t = 2.2000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = -0.0000004768371582
t = 2.3000, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = -0.0000004768371582
t = 2.4000, H(p,q)-H0 = -0.0000002384185791, L(p,q)-L0 = -0.0000005960464478
t = 2.5000, H(p,q)-H0 = -0.0000002384185791, L(p,q)-L0 = -0.0000006556510925
t = 2.6000, H(p,q)-H0 = -0.0000002980232239, L(p,q)-L0 = -0.0000007152557373
t = 2.7000, H(p,q)-H0 = -0.0000003576278687, L(p,q)-L0 = -0.0000007748603821
t = 2.8000, H(p,q)-H0 = -0.0000003576278687, L(p,q)-L0 = -0.0000007152557373
t = 2.9000, H(p,q)-H0 = -0.0000002980232239, L(p,q)-L0 = -0.0000005960464478
t = 3.0000, H(p,q)-H0 = -0.0000003576278687, L(p,q)-L0 = -0.0000007748603821
t = 3.1000, H(p,q)-H0 = -0.0000005364418030, L(p,q)-L0 = -0.0000010728836060
t = 3.2000, H(p,q)-H0 = -0.0000004768371582, L(p,q)-L0 = -0.0000010132789612
t = 3.3000, H(p,q)-H0 = -0.0000004172325134, L(p,q)-L0 = -0.0000008344650269
t = 3.4000, H(p,q)-H0 = -0.0000004768371582, L(p,q)-L0 = -0.0000008344650269
t = 3.5000, H(p,q)-H0 = -0.0000004172325134, L(p,q)-L0 = -0.0000006556510925
t = 3.6000, H(p,q)-H0 = -0.0000004172325134, L(p,q)-L0 = -0.0000006556510925
t = 3.7000, H(p,q)-H0 = -0.0000002384185791, L(p,q)-L0 = -0.0000003576278687
t = 3.8000, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = -0.0000002384185791
t = 3.9000, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = -0.0000001788139343
t = 4.0000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = -0.0000000596046448
t = 4.1000, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = -0.0000002384185791
t = 4.2000, H(p,q)-H0 = -0.0000002384185791, L(p,q)-L0 = -0.0000004768371582
t = 4.3000, H(p,q)-H0 = -0.0000002384185791, L(p,q)-L0 = -0.0000004768371582
t = 4.4000, H(p,q)-H0 = -0.0000002384185791, L(p,q)-L0 = -0.0000003576278687
t = 4.5000, H(p,q)-H0 = -0.0000003576278687, L(p,q)-L0 = -0.0000004768371582
t = 4.6000, H(p,q)-H0 = -0.0000001788139343, L(p,q)-L0 = -0.0000003576278687
t = 4.7000, H(p,q)-H0 = -0.0000003576278687, L(p,q)-L0 = -0.0000005960464478
t = 4.8000, H(p,q)-H0 = -0.0000003576278687, L(p,q)-L0 = -0.0000005364418030
t = 4.9000, H(p,q)-H0 = -0.0000005960464478, L(p,q)-L0 = -0.0000008344650269
t = 5.0000, H(p,q)-H0 = -0.0000007152557373, L(p,q)-L0 = -0.0000010132789612
t = 5.1000, H(p,q)-H0 = -0.0000010132789612, L(p,q)-L0 = -0.0000013709068298
t = 5.2000, H(p,q)-H0 = -0.0000010728836060, L(p,q)-L0 = -0.0000014305114746
t = 5.3000, H(p,q)-H0 = -0.0000009536743164, L(p,q)-L0 = -0.0000014305114746
t = 5.4000, H(p,q)-H0 = -0.0000016093254089, L(p,q)-L0 = -0.0000019073486328
t = 5.5000, H(p,q)-H0 = -0.0000017881393433, L(p,q)-L0 = -0.0000019073486328
t = 5.6000, H(p,q)-H0 = -0.0000019669532776, L(p,q)-L0 = -0.0000020265579224
t = 5.7000, H(p,q)-H0 = -0.0000023841857910, L(p,q)-L0 = -0.0000023841857910
t = 5.8000, H(p,q)-H0 = -0.0000022649765015, L(p,q)-L0 = -0.0000022649765015
t = 5.9000, H(p,q)-H0 = -0.0000026226043701, L(p,q)-L0 = -0.0000022649765015
t = 6.0000, H(p,q)-H0 = -0.0000032186508179, L(p,q)-L0 = -0.0000025033950806
t = 6.1000, H(p,q)-H0 = -0.0000023841857910, L(p,q)-L0 = -0.0000022649765015
ROOT RETURN:	t = 6.1690 g[0] =   1, y[0] = 0.361063, y[1] = -0.221056
t = 6.1690, H(p,q)-H0 = -0.0000022649765015, L(p,q)-L0 = -0.0000022649765015
t = 6.2000, H(p,q)-H0 = -0.0000019073486328, L(p,q)-L0 = -0.0000022649765015
t = 6.3000, H(p,q)-H0 = -0.0000019073486328, L(p,q)-L0 = -0.0000022053718567
t = 6.4000, H(p,q)-H0 = -0.0000027418136597, L(p,q)-L0 = -0.0000023841857910
t = 6.5000, H(p,q)-H0 = -0.0000030994415283, L(p,q)-L0 = -0.0000025033950806
t = 6.6000, H(p,q)-H0 = -0.0000025033950806, L(p,q)-L0 = -0.0000022053718567
t = 6.7000, H(p,q)-H0 = -0.0000027418136597, L(p,q)-L0 = -0.0000022649765015
t = 6.8000, H(p,q)-H0 = -0.0000027418136597, L(p,q)-L0 = -0.0000023841857910
t = 6.9000, H(p,q)-H0 = -0.0000035762786865, L(p,q)-L0 = -0.0000028610229492
t = 7.0000, H(p,q)-H0 = -0.0000029206275940, L(p,q)-L0 = -0.0000025033950806
t = 7.1000, H(p,q)-H0 = -0.0000025629997253, L(p,q)-L0 = -0.0000021457672119
t = 7.2000, H(p,q)-H0 = -0.0000024437904358, L(p,q)-L0 = -0.0000021457672119
