
   Begin Kepler Problem

Problem Arguments:
  stepper:              0
  step mode:            0
  use compensated sums: 1
  dt:                   0.01
  Tf:                   100
  nout:                 1000

t = 0.0000, H(p,q) = -0.5000002384185791, L(p,q) = 0.7999999523162842
t = 0.1000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 0.2000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 0.3000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 0.4000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 0.5000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 0.6000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 0.7000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 0.8000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 0.9000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000596046448
t = 1.0000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
ROOT RETURN:	t = 1.0305 g[0] =  -1, y[0] = -0.658633, y[1] = 0.798624
t = 1.0305, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 1.1000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 1.2000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 1.3000, H(p,q)-H0 = 0.0000001788139343, L(p,q)-L0 = 0.0000000596046448
t = 1.4000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 1.5000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 1.6000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 1.7000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 1.8000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 1.9000, H(p,q)-H0 = 0.0000001788139343, L(p,q)-L0 = 0.0000000000000000
t = 2.0000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 2.1000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 2.2000, H(p,q)-H0 = 0.0000001788139343, L(p,q)-L0 = 0.0000000000000000
t = 2.3000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 2.4000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 2.5000, H(p,q)-H0 = 0.0000001788139343, L(p,q)-L0 = 0.0000000000000000
t = 2.6000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 2.7000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 2.8000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 2.9000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 3.0000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 3.1000, H(p,q)-H0 = 0.0000001788139343, L(p,q)-L0 = 0.0000000596046448
t = 3.2000, H(p,q)-H0 = 0.0000001788139343, L(p,q)-L0 = 0.0000000000000000
t = 3.3000, H(p,q)-H0 = 0.0000001788139343, L(p,q)-L0 = 0.0000000596046448
t = 3.4000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 3.5000, H(p,q)-H0 = 0.0000001788139343, L(p,q)-L0 = 0.0000000596046448
t = 3.6000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 3.7000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 3.8000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 3.9000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 4.0000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 4.1000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 4.2000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 4.3000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 4.4000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 4.5000, H(p,q)-H0 = 0.0000001788139343, L(p,q)-L0 = 0.0000000000000000
t = 4.6000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 4.7000, H(p,q)-H0 = 0.0000002384185791, L(p,q)-L0 = 0.0000000000000000
t = 4.8000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 4.9000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 5.0000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 5.1000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 5.2000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 5.3000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 5.4000, H(p,q)-H0 = 0.0000002384185791, L(p,q)-L0 = 0.0000000000000000
t = 5.5000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 5.6000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 5.7000, H(p,q)-H0 = 0.0000003576278687, L(p,q)-L0 = 0.0000000596046448
t = 5.8000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 5.9000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000596046448
t = 6.0000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000596046448
t = 6.1000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
ROOT RETURN:	t = 6.1690 g[0] =   1, y[0] = 0.361065, y[1] = -0.221057
t = 6.1690, H(p,q)-H0 = 0.0000004768371582, L(p,q)-L0 = 0.0000001192092896
t = 6.2000, H(p,q)-H0 = 0.0000002384185791, L(p,q)-L0 = 0.0000000596046448
t = 6.3000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 6.4000, H(p,q)-H0 = 0.0000002384185791, L(p,q)-L0 = 0.0000000000000000
t = 6.5000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 6.6000, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 6.7000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 6.8000, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 6.9000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 7.0000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 7.1000, H(p,q)-H0 = 0.0000001788139343, L(p,q)-L0 = 0.0000000596046448
t = 7.2000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 7.3000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
ROOT RETURN:	t = 7.3137 g[0] =  -1, y[0] = -0.658684, y[1] = 0.798621
t = 7.3137, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = -0.0000000596046448
t = 7.4000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 7.5000, H(p,q)-H0 = 0.0000001788139343, L(p,q)-L0 = 0.0000000000000000
t = 7.6000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 7.7000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000596046448
t = 7.8000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 7.9000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 8.0000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 8.1000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 8.2000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = -0.0000000596046448
t = 8.3000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 8.4000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 8.5000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 8.6000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 8.7000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 8.8000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 8.9000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 9.0000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 9.1000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 9.2000, H(p,q)-H0 = 0.0000001788139343, L(p,q)-L0 = 0.0000000000000000
t = 9.3000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 9.4000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 9.5000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 9.6000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = -0.0000000596046448
t = 9.7000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = -0.0000000596046448
t = 9.8000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 9.9000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 10.0000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 10.1000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 10.2000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 10.3000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 10.4000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 10.5000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 10.6000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 10.7000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 10.8000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 10.9000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 11.0000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 11.1000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 11.2000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 11.3000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 11.4000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 11.5000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 11.6000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = -0.0000000596046448
t = 11.7000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = -0.0000000596046448
t = 11.8000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 11.9000, H(p,q)-H0 = 0.0000001788139343, L(p,q)-L0 = 0.0000000596046448
t = 12.0000, H(p,q)-H0 = 0.0000001788139343, L(p,q)-L0 = 0.0000000000000000
