
Nonlinear Kvaerno-Prothero-Robinson test problem with mass matrix:
    time domain:  (-3,7]
    Time-dependent mass matrix
    ERK solver, order = 8
    Adaptive run with reltol = 1e-05, abstol = 1e-11
    G = -10
    g = 10
    e = 0.5

        t           u           v       uerr      verr
   ------------------------------------------------------
   -3.000000    0.710636    1.363407  0.00e+00  0.00e+00
   -2.900000    0.717077    1.327979  2.24e-04  1.05e-03
   -2.800000    0.726800    1.291533  4.48e-04  1.18e-03
   -2.700000    0.739552    1.255343  6.94e-04  1.30e-03
   -2.600000    0.755163    1.219689  8.50e-04  1.29e-03
   -2.500000    0.773241    1.185122  9.86e-04  1.26e-03
   -2.400001    0.793446    1.152100  1.10e-03  1.21e-03
   -2.300001    0.815426    1.121105  1.19e-03  1.15e-03
   -2.200001    0.838833    1.092632  1.26e-03  1.07e-03
   -2.100001    0.863326    1.067178  1.30e-03  9.74e-04
   -2.000001    0.888583    1.045227  1.32e-03  8.60e-04
   -1.900001    0.914299    1.027230  1.32e-03  7.31e-04
   -1.800001    0.940189    1.013580  1.30e-03  5.88e-04
   -1.700001    0.965990    1.004593  1.26e-03  4.34e-04
   -1.600001    0.991461    1.000484  1.21e-03  2.71e-04
   -1.500001    1.016380    1.001356  1.15e-03  1.05e-04
   -1.400001    1.040546    1.007187  1.08e-03  6.14e-05
   -1.300001    1.063774    1.017835  1.00e-03  2.23e-04
   -1.200001    1.085898    1.033046  9.22e-04  3.76e-04
   -1.100001    1.106770    1.052476  8.39e-04  5.16e-04
   -1.000001    1.126253    1.075708  7.57e-04  6.42e-04
   -0.900001    1.144228    1.102277  6.76e-04  7.52e-04
   -0.800001    1.160590    1.131694  5.96e-04  8.44e-04
   -0.700001    1.175245    1.163461  5.19e-04  9.20e-04
   -0.600001    1.188113    1.197085  4.44e-04  9.79e-04
   -0.500001    1.199125    1.232092  3.72e-04  1.02e-03
   -0.400001    1.208223    1.268033  3.01e-04  1.05e-03
   -0.300001    1.215361    1.304485  2.33e-04  1.07e-03
   -0.200001    1.220503    1.341057  1.66e-04  1.08e-03
   -0.100001    1.223625    1.377388  9.94e-05  1.08e-03
   -0.000001    1.224711    1.413146  3.36e-05  1.07e-03
    0.099999    1.223757    1.448030  3.27e-05  1.05e-03
    0.199999    1.220769    1.481765  9.95e-05  1.03e-03
    0.299999    1.215761    1.514101  1.67e-04  9.97e-04
    0.399999    1.208761    1.544812  2.37e-04  9.62e-04
    0.499999    1.199804    1.573695  3.08e-04  9.24e-04
    0.599999    1.188937    1.600569  3.80e-04  8.81e-04
    0.699999    1.176218    1.625270  4.53e-04  8.34e-04
    0.799999    1.161715    1.647656  5.28e-04  7.84e-04
    0.899999    1.145508    1.667601  6.04e-04  7.29e-04
