
1D adaptive Heat PDE test problem:
  diffusion coefficient:  k = 0.5
  initial N = 21
  iout          dt_old                 dt_new               ||u||_rms       N   NNI  NLI
 ----------------------------------------------------------------------------------------
    0  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  21    0    0
    1  2.441338864400677e-08  1.018348939396674e-06  2.004159586177785e-08  21    5    5
    2  1.018348939396674e-06  1.030309431371279e-05  8.559719297990308e-07  21    5   10
    3  1.030309431371279e-05  1.072438608389348e-04  9.306958816931466e-06  21    5   15
    4  1.072438608389348e-04  3.051950479857624e-04  9.658828317389661e-05  21    5   20
    5  3.051950479857624e-04  2.732881694100797e-04  3.387074204380510e-04  21    5   25
    6  2.732881694100797e-04  4.433371068444103e-04  5.486431130645223e-04  21    5   25
    7  4.433371068444103e-04  4.433371068444103e-04  8.777844882208569e-04  21    5   30
    8  4.433371068444103e-04  6.688281428068876e-04  1.195297416368762e-03  21    5   29
    9  6.688281428068876e-04  5.852733156643808e-04  1.730012327875291e-03  23    5   40
   10  5.852733156643808e-04  1.096289604902267e-03  2.135171052802837e-03  23    5   35
   11  1.096289604902267e-03  1.096289604902267e-03  2.863679764892385e-03  23    5   39
   12  8.667218498885632e-04  8.310440462082624e-04  3.769821617281429e-03  25   10   79
   13  8.310440462082624e-04  1.862377161160111e-03  4.343740181999723e-03  25    5   34
   14  1.862377161160111e-03  1.862377161160111e-03  5.567045865203126e-03  25    5   40
   15  1.862377161160111e-03  3.652042709290981e-03  6.714680470712516e-03  25    5   35
   16  4.999361699447036e-04  4.999361699447036e-04  6.848043553224963e-03  27   15  180
   17  4.999361699447036e-04  4.999361699447036e-04  7.361590141991622e-03  29    5   30
   18  4.999361699447036e-04  1.667562173679471e-03  7.644873652071713e-03  29    5   29
   19  1.667562173679471e-03  3.645764896646142e-03  8.562918427516268e-03  29    5   46
   20  3.645764896646142e-03  7.182611618191004e-03  1.043388462067343e-02  29    5   66
   21  2.259728353237733e-04  2.220941823907197e-04  1.026342083939744e-02  32   20  250
   22  2.220941823907197e-04  4.450320848263800e-04  1.036871382434834e-02  32    5   24
   23  4.450320848263800e-04  6.793772918172181e-04  1.106431027389220e-02  34    5   33
   24  6.793772918172181e-04  1.234048511832952e-03  1.138700743934150e-02  34    5   35
   25  1.234048511832952e-03  3.590187756344676e-03  1.195936613323966e-02  34    5   43
