
Nonlinear Kvaerno-Prothero-Robinson test problem with mass matrix:
    time domain:  (-3,7]
    Time-dependent mass matrix
    ERK solver, order = 8
    Adaptive run with reltol = 1e-05, abstol = 1e-11
    G = -10
    g = 10
    e = 0.5

        t           u           v       uerr      verr
   ------------------------------------------------------
   -3.000000    0.710636    1.363407  0.00e+00  0.00e+00
   -2.900000    0.717198    1.327367  1.03e-04  4.34e-04
   -2.800000    0.727104    1.290784  1.44e-04  4.30e-04
   -2.700000    0.740065    1.254463  1.81e-04  4.21e-04
   -2.600000    0.755799    1.218806  2.14e-04  4.06e-04
   -2.500000    0.773986    1.184247  2.42e-04  3.86e-04
   -2.400001    0.794281    1.151245  2.65e-04  3.60e-04
   -2.300001    0.816334    1.120281  2.82e-04  3.28e-04
   -2.200001    0.839795    1.091852  2.94e-04  2.91e-04
   -2.100001    0.864324    1.066453  3.01e-04  2.49e-04
   -2.000001    0.889599    1.044570  3.04e-04  2.03e-04
   -1.900001    0.915316    1.026652  3.01e-04  1.53e-04
   -1.800001    0.941192    1.013092  2.95e-04  1.00e-04
   -1.700001    0.966967    1.004205  2.85e-04  4.59e-05
   -1.600001    0.992400    1.000205  2.73e-04  8.34e-06
   -1.500001    1.017273    1.001190  2.58e-04  6.16e-05
   -1.400001    1.041384    1.007136  2.41e-04  1.13e-04
   -1.300001    1.064553    1.017897  2.24e-04  1.60e-04
   -1.200001    1.086616    1.033219  2.05e-04  2.03e-04
   -1.100001    1.107345    1.052651  2.64e-04  3.41e-04
   -1.000001    1.126771    1.075962  2.38e-04  3.88e-04
   -0.900001    1.144692    1.102603  2.12e-04  4.26e-04
   -0.800001    1.160999    1.132082  1.87e-04  4.57e-04
   -0.700001    1.175601    1.163900  1.62e-04  4.80e-04
   -0.600001    1.188418    1.197566  1.39e-04  4.97e-04
   -0.500001    1.199381    1.232608  1.15e-04  5.08e-04
   -0.400001    1.208431    1.268573  9.31e-05  5.13e-04
   -0.300001    1.215523    1.305043  7.02e-05  5.14e-04
   -0.200001    1.220621    1.341626  4.83e-05  5.10e-04
   -0.100001    1.223698    1.377963  2.62e-05  5.02e-04
   -0.000001    1.224741    1.413721  3.81e-06  4.92e-04
    0.099999    1.223743    1.448601  1.85e-05  4.79e-04
    0.199999    1.220710    1.482328  4.11e-05  4.63e-04
    0.299999    1.215658    1.514652  6.46e-05  4.45e-04
    0.399999    1.208612    1.545350  8.83e-05  4.24e-04
    0.499999    1.199609    1.574217  1.13e-04  4.01e-04
    0.599999    1.188695    1.601073  1.37e-04  3.77e-04
    0.699999    1.175927    1.625754  1.63e-04  3.51e-04
    0.799999    1.161375    1.648117  1.88e-04  3.23e-04
    0.899999    1.145119    1.668037  2.15e-04  2.93e-04
