
1D adaptive Heat PDE test problem:
  diffusion coefficient:  k = 0.5
  initial N = 21
  iout          dt_old                 dt_new               ||u||_rms       N   NNI  NLI
 ----------------------------------------------------------------------------------------
    0  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  21    0    0
    1  5.394573332147690e-13  1.115736568771188e-09  4.428556802247758e-13  21    5    5
    2  1.115736568771188e-09  2.231473137542376e-08  9.163822807329853e-10  21    5    5
    3  2.231473137542376e-08  4.462946275084752e-07  1.923514160808562e-08  21    5    5
    4  4.462946275084752e-07  8.925892550169503e-06  3.855986598652674e-07  21    5   10
    5  8.925892550169503e-06  1.785178510033901e-04  7.708211059326051e-06  21    5   15
    6  1.785178510033901e-04  1.785178510033901e-04  1.523691871394411e-04  21    5   25
    7  1.785178510033901e-04  3.585707933497393e-04  2.938655103786731e-04  21    5   24
    8  3.585707933497393e-04  3.585707933497393e-04  5.697730569454426e-04  21    5   27
    9  3.585707933497393e-04  5.674780452661035e-04  8.362904517536513e-04  21    5   26
   10  5.674780452661035e-04  5.674780452661035e-04  1.242624414250097e-03  21    5   30
   11  5.674780452661035e-04  5.674780452661035e-04  1.705790063066503e-03  23    5   39
   12  5.674780452661035e-04  1.030893499109631e-03  2.099317298367782e-03  23    5   35
   13  1.030893499109631e-03  1.030893499109631e-03  2.786910879180498e-03  23    5   40
   14  8.530260467581151e-04  8.265202144728385e-04  3.679069833796809e-03  25   10   78
   15  8.265202144728385e-04  1.833820192024613e-03  4.252822871978690e-03  25    5   34
   16  1.833820192024613e-03  1.833820192024613e-03  5.463782523425665e-03  25    5   40
   17  1.833820192024613e-03  3.531180856903080e-03  6.600388040733392e-03  25    5   35
   18  3.531180856903080e-03  3.531180856903080e-03  8.612853657967963e-03  25    5   39
   19  5.102823066344453e-04  5.102823066344453e-04  8.965699708605911e-03  29   15  179
   20  5.102823066344453e-04  1.379153279382283e-03  9.230858132321348e-03  29    5   28
   21  9.037523285326133e-04  8.058405909943855e-04  9.585036555300415e-03  31   10   79
   22  8.058405909943855e-04  1.978837957379277e-03  9.986414964741380e-03  31    5   30
   23  1.978837957379277e-03  4.523283694413763e-03  1.093938312547257e-02  31    5   41
   24  8.881620324008867e-04  8.881620324008867e-04  1.186023222255169e-02  33   15  208
   25  8.881620324008867e-04  1.935988644012722e-03  1.227301280207496e-02  33    5   29
