
1D adaptive Heat PDE test problem:
  diffusion coefficient:  k = 0.5
  initial N = 21
  iout          dt_old                 dt_new               ||u||_rms       N   NNI  NLI
 ----------------------------------------------------------------------------------------
    0  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  21    0    0
    1  2.441338864400677e-08  3.899032208209974e-07  2.004160510697049e-08  21    5    5
    2  3.899032208209974e-07  3.425988097660593e-06  3.401145900337182e-07  21    5   10
    3  3.425988097660593e-06  2.442814184178133e-05  3.151791676036721e-06  21    5   10
    4  2.442814184178133e-05  1.815942086977884e-04  2.316204208619198e-05  21    5   15
    5  1.815942086977884e-04  6.230056751519442e-04  1.699301296049063e-04  21    5   24
    6  6.230056751519442e-04  8.229016093537211e-04  6.508533109580939e-04  21    5   33
    7  8.229016093537211e-04  1.436740625649691e-03  1.245933293672847e-03  21    5   34
    8  1.436740625649691e-03  2.163166645914316e-03  2.307152334067817e-03  23    5   53
    9  2.163166645914316e-03  3.172263037413359e-03  3.696915873646289e-03  23    5   52
   10  3.172263037413359e-03  5.273390561342239e-03  6.131401731175623e-03  25    5   60
   11  5.273390561342239e-03  1.210968010127544e-02  9.131834305131906e-03  25    5   65
   12  1.210968010127544e-02  2.066549845039845e-02  1.450564304603711e-02  31    5  105
   13  2.066549845039845e-02  3.414119780063629e-02  2.163707117072426e-02  33    5  105
   14  3.845060011371970e-03  3.845060011371970e-03  2.200168440561986e-02  39   15  315
   15  3.845060011371970e-03  1.085485238581896e-02  2.202556386238308e-02  43    5  105
   16  1.085485238581896e-02  1.491482648998499e-02  2.311533805008440e-02  47    5  105
   17  3.386830212548375e-03  3.386830212548375e-03  2.326039865032611e-02  51   15  315
   18  3.386830212548375e-03  1.029980182647705e-02  2.374602933995102e-02  51    5  105
   19  1.029980182647705e-02  1.185643393546343e-02  2.504500030806355e-02  51    5  105
   20  1.185643393546343e-02  2.105726115405560e-02  2.626074613923157e-02  51    5  105
   21  1.576588861644268e-02  1.576588861644268e-02  2.751725467127886e-02  51   10  210
   22  3.941472154110670e-03  3.941472154110670e-03  2.888889959961391e-02  55   10  210
   23  3.941472154110670e-03  9.665679186582565e-03  2.914082671388402e-02  55    5  105
   24  9.665679186582565e-03  1.127217616885900e-02  2.938038031499354e-02  57    5  105
   25  1.127217616885900e-02  2.095767483115196e-02  2.948098348802783e-02  59    5  105
