
Nonlinear Kvaerno-Prothero-Robinson test problem with mass matrix:
    time domain:  (-3,7]
    Fixed mass matrix
    ERK solver, order = 4
    Adaptive run with reltol = 1e-05, abstol = 1e-11
    G = -10
    g = 10
    e = 0.5

        t           u           v       uerr      verr
   ------------------------------------------------------
   -3.000000    0.710636    1.363407  0.00e+00  0.00e+00
   -2.900000    0.717302    1.326933  1.13e-06  0.00e+00
   -2.800000    0.727249    1.290354  1.25e-06  2.38e-07
   -2.700000    0.740247    1.254042  1.19e-06  2.38e-07
   -2.600000    0.756014    1.218400  1.19e-06  2.38e-07
   -2.500000    0.774228    1.183862  1.01e-06  1.19e-07
   -2.400001    0.794547    1.150886  7.75e-07  2.38e-07
   -2.300001    0.816617    1.119953  7.15e-07  0.00e+00
   -2.200001    0.840089    1.091560  5.36e-07  1.19e-07
   -2.100001    0.864625    1.066204  3.58e-07  3.58e-07
   -2.000001    0.889903    1.044368  5.96e-07  2.38e-07
   -1.900001    0.915617    1.026499  2.38e-07  3.58e-07
   -1.800001    0.941486    1.012992  1.01e-06  3.58e-07
   -1.700001    0.967249    1.004160  3.58e-06  7.15e-07
   -1.600001    0.992668    1.000214  5.19e-06  8.34e-07
   -1.500001    1.017524    1.001253  5.96e-06  8.34e-07
   -1.400001    1.041619    1.007249  5.96e-06  5.96e-07
   -1.300001    1.064772    1.018058  4.77e-06  4.77e-07
   -1.200001    1.086816    1.033422  4.53e-06  4.77e-07
   -1.100001    1.107604    1.052993  4.77e-06  4.77e-07
   -1.000001    1.127005    1.076350  4.41e-06  5.96e-07
   -0.900001    1.144899    1.103029  4.65e-06  4.77e-07
   -0.800001    1.161182    1.132539  4.29e-06  4.77e-07
   -0.700001    1.175759    1.164381  4.77e-06  3.58e-07
   -0.600001    1.188553    1.198064  4.05e-06  4.77e-07
   -0.500001    1.199492    1.233116  4.65e-06  3.58e-07
   -0.400001    1.208520    1.269087  4.29e-06  3.58e-07
   -0.300001    1.215589    1.305557  4.65e-06  3.58e-07
   -0.200001    1.220665    1.342137  4.29e-06  3.58e-07
   -0.100001    1.223720    1.378465  5.01e-06  2.38e-07
   -0.000001    1.224741    1.414214  4.29e-06  3.58e-07
    0.099999    1.223720    1.449080  4.89e-06  3.58e-07
    0.199999    1.220665    1.482791  4.29e-06  3.58e-07
    0.299999    1.215589    1.515097  4.65e-06  2.38e-07
    0.399999    1.208520    1.545774  4.05e-06  2.38e-07
    0.499999    1.199492    1.574619  4.41e-06  3.58e-07
    0.599999    1.188553    1.601450  3.70e-06  0.00e+00
    0.699999    1.175760    1.626105  3.93e-06  2.38e-07
    0.799999    1.161183    1.648441  3.46e-06  2.38e-07
    0.899999    1.144900    1.668331  3.58e-06  2.38e-07
