
Nonlinear Kvaerno-Prothero-Robinson test problem with mass matrix:
    time domain:  (-3,7]
    Time-dependent mass matrix
    ERK solver, order = 8
    Adaptive run with reltol = 1e-05, abstol = 1e-11
    G = -10
    g = 10
    e = 0.5

        t           u           v       uerr      verr
   ------------------------------------------------------
   -3.000000    0.710636    1.363407  0.00e+00  0.00e+00
   -2.900000    0.717301    1.326933  0.00e+00  0.00e+00
   -2.800000    0.727247    1.290353  0.00e+00  0.00e+00
   -2.700000    0.740246    1.254042  0.00e+00  1.19e-07
   -2.600000    0.756013    1.218400  5.96e-08  0.00e+00
   -2.500000    0.774227    1.183862  0.00e+00  1.19e-07
   -2.400001    0.794546    1.150885  0.00e+00  0.00e+00
   -2.300001    0.816616    1.119953  1.79e-07  0.00e+00
   -2.200001    0.840089    1.091560  5.96e-08  1.19e-07
   -2.100001    0.864625    1.066204  1.79e-07  2.38e-07
   -2.000001    0.889902    1.044367  2.98e-07  1.19e-07
   -1.900001    0.915617    1.026499  1.19e-07  1.19e-07
   -1.800001    0.941487    1.012992  2.38e-07  1.19e-07
   -1.700001    0.967252    1.004159  2.38e-07  0.00e+00
   -1.600001    0.992673    1.000213  1.79e-07  0.00e+00
   -1.500001    1.017530    1.001252  2.38e-07  0.00e+00
   -1.400001    1.041625    1.007249  2.38e-07  1.19e-07
   -1.300001    1.064776    1.018057  2.38e-07  2.38e-07
   -1.200001    1.086820    1.033422  0.00e+00  1.19e-07
   -1.100001    1.107609    1.052992  1.19e-07  0.00e+00
   -1.000001    1.127010    1.076349  2.38e-07  3.58e-07
   -0.900001    1.144904    1.103029  0.00e+00  2.38e-07
   -0.800001    1.161186    1.132538  2.38e-07  4.77e-07
   -0.700001    1.175764    1.164380  1.19e-07  0.00e+00
   -0.600001    1.188557    1.198063  1.19e-07  5.96e-07
   -0.500001    1.199496    1.233116  0.00e+00  2.38e-07
   -0.400001    1.208524    1.269086  2.38e-07  2.38e-07
   -0.300001    1.215594    1.305557  1.19e-07  2.38e-07
   -0.200001    1.220669    1.342136  2.38e-07  2.38e-07
   -0.100001    1.223725    1.378466  0.00e+00  5.96e-07
   -0.000001    1.224745    1.414213  2.38e-07  1.19e-07
    0.099999    1.223725    1.449080  0.00e+00  0.00e+00
    0.199999    1.220669    1.482791  1.19e-07  1.19e-07
    0.299999    1.215594    1.515097  1.19e-07  3.58e-07
    0.399999    1.208524    1.545774  0.00e+00  2.38e-07
    0.499999    1.199496    1.574619  1.19e-07  4.77e-07
    0.599999    1.188557    1.601450  3.58e-07  2.38e-07
    0.699999    1.175764    1.626105  0.00e+00  3.58e-07
    0.799999    1.161186    1.648440  2.38e-07  1.19e-07
    0.899999    1.144904    1.668330  2.38e-07  4.77e-07
